player_name	team	position	foot	goals	agg_position
Jonathan Woodgate	Newcastle United	Left Center Back	Right Foot	0.0	Center Back
Jamal Julian Campbell-Ryce	Charlton Athletic	Left Center Forward	Right Foot	0.0	Striker
Jason Joseph Euell	Charlton Athletic	Right Center Forward	Right Foot	0.0	Striker
Chris Perry	Charlton Athletic	Right Center Back	Right Foot	0.0	Center Back
Stylianos Giannakopoulos	Bolton Wanderers	Right Wing	Right Foot	0.0	Right Wing
"Bruno N""Gotty"	Bolton Wanderers	Right Center Back	Right Foot	0.0	Center Back
Massimo Maccarone	Middlesbrough	Left Center Forward	Right Foot	1.0	Striker
Danny Mills	Middlesbrough	Right Back	Right Foot	0.0	Right Back
Franck Queudrue	Middlesbrough	Left Back	Left Foot	0.0	Left Back
Ugo Ehiogu	Middlesbrough	Right Center Back	Right Foot	0.0	Center Back
Joseph-Desiré Job	Middlesbrough	Left Center Forward	Right Foot	0.0	Striker
Collins John	Fulham	Right Midfield	Right Foot	0.0	Right Wing
Brian McBride	Fulham	Left Center Midfield	Right Foot	0.0	Center Midfield
Ian Pearce	Fulham	Right Center Back	Right Foot	0.0	Center Back
Alain Goma	Fulham	Left Center Back	Right Foot	0.0	Center Back
Luís Boa Morte Pereira	Fulham	Center Forward	Left Foot	0.0	Striker
Carlos Manuel Bocanegra	Fulham	Left Back	Left Foot	0.0	Left Back
Martin Djetou	Fulham	Right Midfield	Right Foot	0.0	Right Wing
Ibrahim Ba	Bolton Wanderers	Center Defensive Midfield	Left Foot	0.0	Defensive Midfield
Henrik Pedersen	Bolton Wanderers	Left Wing	Left Foot	0.5	Left Wing
Kevin Nolan	Bolton Wanderers	Right Center Midfield	Right Foot	0.0	Center Midfield
Émerson Augusto Thome	Bolton Wanderers	Left Center Back	Right Foot	0.0	Center Back
"Augustine Azuka ""Jay-Jay"" Okocha"	Bolton Wanderers	Left Center Midfield	Right Foot	0.0	Center Midfield
Ricardo Wayne Gardner	Bolton Wanderers	Left Back	Left Foot	0.0	Left Back
Iván Campo Ramos	Bolton Wanderers	Center Defensive Midfield	Right Foot	0.5	Defensive Midfield
